ID_TERRITORIO,CODIGO,ID_NIVEL_TERRITORIAL,DESCRIPCION,ID_TERRITORIO_PADRE,PATH_DESCRIPCION,PATH_ID,PATH_CODIGO,NOMECLATURA,PATH_NOMECLATURA
358,09,3,PENIPE,7,"ECUADOR CHIMBORAZO PENIPE","1,7,358","593 06 09",PEN,"EC CHI PEN"
359,10,3,CUMANDÁ,7,"ECUADOR CHIMBORAZO CUMANDÁ","1,7,359","593 06 10",CUM,"EC CHI CUM"
400,01,3,MACHALA,8,"ECUADOR EL ORO MACHALA","1,8,400","593 07 01",MAC,"EC EOR MAC"
401,02,3,ARENILLAS,8,"ECUADOR EL ORO ARENILLAS","1,8,401","593 07 02",ARE,"EC EOR ARE"
402,03,3,ATAHUALPA,8,"ECUADOR EL ORO ATAHUALPA","1,8,402","593 07 03",ATA,"EC EOR ATA"
403,04,3,BALSAS,8,"ECUADOR EL ORO BALSAS","1,8,403","593 07 04",BAL,"EC EOR BAL"
404,05,3,CHILLA,8,"ECUADOR EL ORO CHILLA","1,8,404","593 07 05",CHI,"EC EOR CHI"
405,06,3,"EL GUABO",8,"ECUADOR EL ORO EL GUABO","1,8,405","593 07 06",EGU,"EC EOR EGU"
406,07,3,HUAQUILLAS,8,"ECUADOR EL ORO HUAQUILLAS","1,8,406","593 07 07",HUA,"EC EOR HUA"
407,08,3,MARCABELÍ,8,"ECUADOR EL ORO MARCABELÍ","1,8,407","593 07 08",MAR,"EC EOR MAR"
408,09,3,PASAJE,8,"ECUADOR EL ORO PASAJE","1,8,408","593 07 09",PAS,"EC EOR PAS"
409,10,3,PIÑAS,8,"ECUADOR EL ORO PIÑAS","1,8,409","593 07 10",PIÑ,"EC EOR PIÑ"
410,11,3,PORTOVELO,8,"ECUADOR EL ORO PORTOVELO","1,8,410","593 07 11",POR,"EC EOR POR"
411,12,3,"SANTA ROSA",8,"ECUADOR EL ORO SANTA ROSA","1,8,411","593 07 12",SRO,"EC EOR SRO"
412,13,3,ZARUMA,8,"ECUADOR EL ORO ZARUMA","1,8,412","593 07 13",ZAR,"EC EOR ZAR"
413,14,3,"LAS LAJAS",8,"ECUADOR EL ORO LAS LAJAS","1,8,413","593 07 14",LLA,"EC EOR LLA"
451,02,3,"ALFREDO BAQUERIZO MORENO (JUJÁN)",10,"ECUADOR GUAYAS ALFREDO BAQUERIZO MORENO (JUJÁN)","1,10,451","593 09 02",ABM,"EC GUA ABM"
452,03,3,BALAO,10,"ECUADOR GUAYAS BALAO","1,10,452","593 09 03",BAO,"EC GUA BAO"
453,04,3,BALZAR,10,"ECUADOR GUAYAS BALZAR","1,10,453","593 09 04",BAZ,"EC GUA BAZ"
454,05,3,COLIMES,10,"ECUADOR GUAYAS COLIMES","1,10,454","593 09 05",COL,"EC GUA COL"
455,06,3,DAULE,10,"ECUADOR GUAYAS DAULE","1,10,455","593 09 06",DAU,"EC GUA DAU"
456,07,3,DURÁN,10,"ECUADOR GUAYAS DURÁN","1,10,456","593 09 07",DUR,"EC GUA DUR"
457,08,3,"EL EMPALME",10,"ECUADOR GUAYAS EL EMPALME","1,10,457","593 09 08",EEM,"EC GUA EEM"
458,09,3,"EL TRIUNFO",10,"ECUADOR GUAYAS EL TRIUNFO","1,10,458","593 09 09",ETR,"EC GUA ETR"
459,10,3,MILAGRO,10,"ECUADOR GUAYAS MILAGRO","1,10,459","593 09 10",MIL,"EC GUA MIL"
460,11,3,NARANJAL,10,"ECUADOR GUAYAS NARANJAL","1,10,460","593 09 11",NAL,"EC GUA NAL"
461,12,3,NARANJITO,10,"ECUADOR GUAYAS NARANJITO","1,10,461","593 09 12",NAO,"EC GUA NAO"
462,13,3,PALESTINA,10,"ECUADOR GUAYAS PALESTINA","1,10,462","593 09 13",PAL,"EC GUA PAL"
463,14,3,"PEDRO CARBO",10,"ECUADOR GUAYAS PEDRO CARBO","1,10,463","593 09 14",PCA,"EC GUA PCA"
465,16,3,SAMBORONDÓN,10,"ECUADOR GUAYAS SAMBORONDÓN","1,10,465","593 09 16",SAM,"EC GUA SAM"
467,18,3,"SANTA LUCÍA",10,"ECUADOR GUAYAS SANTA LUCÍA","1,10,467","593 09 18",SLU,"EC GUA SLU"
